area,size_marla,bedrooms,bathrooms,property_age,has_garage,has_servant_quarter,has_basement,corner_plot,near_park,gated_society,property_type,price_lakhs
Township,4.6,2,2,25,0,0,0,0,0,0,House,245.67
Samanabad,9.9,4,4,8,0,1,0,1,0,0,Upper Portion,528.24
DHA Phase 7-9,6.7,4,4,0,0,0,0,1,0,1,House,885.21
DHA Phase 4-6,13.7,5,4,8,1,1,1,0,0,1,House,2784.14
DHA Phase 4-6,13.7,4,3,2,1,1,0,1,0,1,House,2365.72
DHA Phase 1-3,19.9,5,5,12,1,0,0,0,0,1,House,4125.61
DHA Phase 4-6,13.6,4,3,18,1,1,1,1,0,1,House,2386.71
Iqbal Town,9.9,4,4,8,0,0,1,0,0,0,House,1037.73
DHA Phase 4-6,14.0,5,4,0,1,0,0,1,1,1,House,1838.7
Model Town,7.0,3,3,18,0,0,0,0,0,0,House,899.05
Faisal Town,6.9,3,2,25,1,0,1,1,0,0,House,710.47
DHA Phase 1-3,20.3,6,6,18,1,1,0,0,0,1,House,4244.63
Allama Iqbal Town,9.6,4,3,25,0,0,0,0,0,0,House,810.34
Gulberg III-V,20.0,7,7,2,1,0,0,1,1,0,House,2998.38
DHA Phase 4-6,19.6,5,4,25,1,1,1,0,1,1,Upper Portion,3048.32
Iqbal Town,19.6,5,4,5,1,1,0,0,0,0,House,1517.87
Garden Town,20.1,6,5,0,1,0,1,0,0,0,House,2246.58
Faisal Town,10.1,5,5,25,1,1,0,0,0,0,House,918.77
Wapda Town,7.4,3,3,35,1,0,0,0,0,0,Upper Portion,682.49
Allama Iqbal Town,10.1,4,4,18,1,0,0,1,0,0,House,777.87
Gulberg III-V,10.5,4,3,3,1,1,0,1,0,0,House,1685.11
DHA Phase 7-9,13.5,5,5,3,1,1,1,0,0,1,House,1929.26
Wapda Town,13.6,5,4,8,1,1,0,0,0,0,House,1461.73
Allama Iqbal Town,13.5,5,4,25,1,1,1,0,0,0,House,1154.33
Shahdara,9.7,4,3,1,0,0,0,0,1,0,House,434.46
Johar Town,7.0,3,3,25,0,0,1,0,0,0,House,731.27
Johar Town,10.1,5,4,3,0,1,0,0,0,0,Upper Portion,819.48
Allama Iqbal Town,4.5,3,3,25,0,0,0,0,0,0,Lower Portion,280.92
Model Town,20.4,7,7,35,1,0,0,0,0,0,House,2908.1
Township,7.3,4,3,8,0,0,1,0,0,0,Upper Portion,362.76
Faisal Town,6.8,4,4,5,1,0,0,0,0,0,Upper Portion,531.67
Johar Town,4.6,2,2,25,0,0,1,0,0,0,House,455.3
Wapda Town,13.7,4,3,12,1,1,0,0,0,0,House,1334.39
Wapda Town,13.6,4,4,18,0,1,0,1,0,0,House,1256.59
DHA Phase 4-6,6.6,3,2,12,0,0,0,0,0,1,House,964.41
Samanabad,5.0,4,3,2,0,0,0,0,0,0,Upper Portion,305.59
Bahria Town,9.7,4,3,25,1,0,1,0,1,1,Flat,916.71
Allama Iqbal Town,6.9,4,4,2,0,0,0,0,0,0,Flat,504.86
Model Town,14.5,5,5,35,1,0,1,0,0,0,House,1828.85
Samanabad,14.2,4,4,3,1,1,0,0,0,0,Upper Portion,858.23
Johar Town,10.4,4,3,18,1,1,0,0,1,0,House,1003.57
DHA Phase 1-3,6.6,3,2,3,0,0,0,0,0,1,Flat,1022.57
Samanabad,39.9,7,7,5,1,1,0,0,0,0,House,2334.27
DHA Phase 4-6,10.1,4,4,5,1,1,0,0,0,1,House,1927.01
Model Town,13.6,5,5,18,1,1,0,1,1,0,House,2147.29
Township,4.5,2,2,12,1,1,0,0,0,0,House,364.36
Township,10.2,4,4,25,1,1,0,0,0,0,House,723.5
Lake City,5.1,3,2,5,1,0,0,0,0,1,Lower Portion,476.35
Garden Town,9.9,3,3,18,1,0,1,0,0,0,Upper Portion,1180.16
Bahria Town,40.0,5,4,18,0,1,0,0,1,1,House,4491.54
Gulberg III-V,9.9,4,3,2,0,0,1,0,0,0,House,1466.69
Model Town,4.5,3,2,8,1,0,0,0,0,0,Lower Portion,579.92
Iqbal Town,4.8,3,2,8,0,1,1,0,0,0,House,593.66
Wapda Town,9.7,3,3,5,0,0,0,0,0,0,House,793.68
Allama Iqbal Town,6.6,4,3,5,0,0,0,0,0,0,Lower Portion,421.79
Allama Iqbal Town,5.5,3,3,18,1,0,1,1,0,0,Flat,529.37
DHA Phase 4-6,14.1,5,4,2,1,0,0,0,0,1,House,2216.25
Bahria Town,10.2,4,4,18,0,1,0,0,1,1,House,1264.29
DHA Phase 4-6,6.8,3,3,35,1,0,1,0,0,1,Upper Portion,1269.17
Lake City,19.9,5,4,12,1,1,0,0,1,1,House,2305.03
Johar Town,4.7,3,3,12,1,1,1,1,1,0,House,577.85
Samanabad,19.6,5,4,0,1,1,1,0,1,0,House,1405.73
Model Town,6.7,3,3,25,0,0,0,1,0,0,House,798.88
DHA Phase 4-6,20.3,6,5,3,1,1,0,0,0,1,House,3218.03
DHA Phase 7-9,14.2,4,3,12,0,0,0,0,0,1,House,2024.34
Wapda Town,20.0,5,5,35,0,1,0,0,1,0,House,1397.18
Valencia,40.0,7,7,12,1,1,0,0,0,1,House,5621.9
DHA Phase 4-6,7.4,4,3,18,1,0,0,1,0,1,Flat,1322.61
DHA Phase 4-6,39.6,5,4,8,1,1,0,0,0,1,House,6653.55
Iqbal Town,9.8,3,3,0,0,0,1,0,0,0,Flat,696.12
DHA Phase 4-6,9.8,3,2,25,0,0,0,1,1,1,Lower Portion,1364.91
Allama Iqbal Town,7.3,3,2,0,0,1,0,0,0,0,House,537.68
Iqbal Town,10.5,4,3,18,1,0,0,1,0,0,House,1038.34
DHA Phase 4-6,6.7,3,3,0,0,0,1,0,0,1,House,889.22
DHA Phase 4-6,10.4,5,4,25,1,1,0,0,0,1,House,1930.14
Shahdara,10.3,5,4,2,1,1,1,0,0,0,House,547.33
Johar Town,13.7,5,5,8,0,1,0,0,0,0,Upper Portion,1334.39
Johar Town,19.9,5,4,12,1,1,0,0,0,0,House,2068.27
Allama Iqbal Town,9.9,3,2,8,1,0,0,0,0,0,Lower Portion,718.02
Township,7.5,4,3,5,1,0,0,0,1,0,House,438.66
Shahdara,6.7,4,3,8,1,0,0,0,0,0,Flat,359.03
Wapda Town,7.3,4,4,5,0,0,1,0,0,0,Flat,511.47
Johar Town,4.8,2,2,8,1,1,0,0,1,0,House,494.1
DHA Phase 4-6,7.2,4,3,5,0,0,0,1,0,1,House,1292.93
Allama Iqbal Town,6.9,4,3,12,0,0,0,1,0,0,Upper Portion,497.31
Lake City,40.1,6,5,3,1,1,0,0,0,1,House,3350.79
Johar Town,10.3,5,4,35,1,1,1,1,0,0,Upper Portion,1150.89
Samanabad,7.3,3,3,8,1,0,0,0,0,0,House,398.99
DHA Phase 4-6,10.4,5,5,2,1,1,0,0,0,1,House,1786.95
Bahria Town,4.6,2,2,8,0,0,1,0,1,1,Upper Portion,559.94
DHA Phase 1-3,10.2,4,3,25,0,1,1,0,0,1,House,1929.03
Bahria Town,13.6,4,4,0,1,1,0,0,0,1,House,1840.66
DHA Phase 1-3,9.9,4,4,18,1,0,0,0,1,1,Lower Portion,1824.94
DHA Phase 4-6,10.0,4,4,12,1,1,0,0,0,1,Upper Portion,1778.68
DHA Phase 4-6,39.9,5,4,2,1,1,0,0,0,1,House,6551.94
Garden Town,20.0,6,5,25,1,0,0,0,1,0,House,2721.38
Wapda Town,14.5,5,4,5,1,0,0,1,0,0,House,1647.74
Valencia,9.6,4,3,3,1,0,0,0,0,1,House,1234.87
Township,14.2,4,3,25,1,0,1,0,0,0,House,905.35
Johar Town,6.9,3,2,12,0,0,0,1,0,0,House,837.94
Gulberg III-V,9.6,3,3,25,0,0,1,0,1,0,House,1640.82
Faisal Town,4.7,2,2,12,1,0,0,0,0,0,Upper Portion,339.9
Gulberg I-II,10.4,5,4,18,0,1,0,0,0,0,House,2033.91
Shahdara,10.4,4,3,25,1,1,0,0,0,0,House,521.9
DHA Phase 1-3,7.4,3,2,0,0,1,1,0,1,1,House,1649.03
Shahdara,40.5,6,6,25,1,0,1,0,0,0,Upper Portion,2016.69
DHA Phase 1-3,19.7,5,5,12,1,1,0,0,0,1,House,3810.94
Samanabad,13.9,4,4,0,1,1,0,0,0,0,House,933.76
Bahria Town,10.2,5,5,8,1,1,0,0,0,1,House,1269.42
Shahdara,20.0,4,3,1,1,1,0,0,0,0,House,1014.37
DHA Phase 4-6,4.9,3,3,18,1,1,0,0,1,1,Lower Portion,812.45
Lake City,19.9,4,4,12,0,1,1,1,0,1,House,2118.23
Shahdara,5.1,4,3,35,0,0,1,0,0,0,House,298.37
Bahria Town,20.1,5,4,2,1,0,1,0,1,1,Upper Portion,2455.43
Garden Town,6.7,3,2,12,0,0,0,1,1,0,House,815.45
Iqbal Town,20.0,5,5,2,0,1,1,0,1,0,House,1731.97
Bahria Town,20.1,5,4,12,1,1,1,0,1,1,House,2642.13
Garden Town,5.1,4,4,18,1,0,0,0,0,0,Lower Portion,561.75
Valencia,9.7,4,4,18,0,0,0,0,1,1,House,989.12
Samanabad,40.2,5,5,25,1,1,0,0,0,0,House,1999.91
DHA Phase 1-3,9.5,3,3,25,0,0,0,0,0,1,Lower Portion,1359.25
Gulberg III-V,19.9,5,4,0,1,1,1,0,0,0,House,2485.36
Township,10.3,5,4,5,0,1,0,0,0,0,House,541.14
Samanabad,10.1,4,4,18,0,1,1,0,0,0,House,750.75
Bahria Town,6.8,4,3,8,0,0,0,0,0,1,Lower Portion,757.89
Valencia,7.2,3,3,2,1,0,0,0,1,1,Lower Portion,846.24
Gulberg III-V,14.1,4,4,12,0,0,0,0,0,0,House,1691.31
DHA Phase 7-9,10.3,4,3,8,1,1,0,0,0,1,House,1403.98
Bahria Town,10.2,5,4,5,1,1,0,0,1,1,House,989.77
Model Town,10.1,4,4,25,1,1,0,0,0,0,Upper Portion,1265.13
Valencia,10.0,4,3,8,0,0,1,0,0,1,House,1564.19
DHA Phase 4-6,19.6,4,4,0,1,0,0,0,0,1,House,3549.25
Shahdara,39.8,6,5,0,1,1,1,0,0,0,Upper Portion,1849.38
Shahdara,9.9,3,3,25,0,0,0,0,0,0,House,490.75
Iqbal Town,20.1,7,7,35,1,1,0,0,0,0,Upper Portion,1623.5
Lake City,14.0,4,3,18,1,1,1,0,0,1,House,1403.27
Gulberg III-V,9.8,3,2,5,0,0,0,0,0,0,Upper Portion,1681.73
Allama Iqbal Town,19.5,4,4,35,1,1,1,0,0,0,House,1241.94
Iqbal Town,7.0,3,2,18,0,0,0,1,0,0,Upper Portion,567.98
DHA Phase 7-9,4.8,3,2,25,0,1,1,0,0,1,House,703.55
Samanabad,20.2,6,6,18,1,0,0,0,0,0,House,1109.32
Allama Iqbal Town,9.5,4,4,5,0,0,0,0,1,0,Lower Portion,741.13
Township,20.1,5,4,8,1,0,0,0,1,0,House,1141.1
Wapda Town,20.4,7,6,2,0,0,0,0,0,0,Upper Portion,2065.6
Valencia,4.7,2,2,3,1,0,1,1,0,1,Lower Portion,651.19
Johar Town,20.0,4,4,25,1,1,0,0,0,0,House,1928.8
Township,9.6,4,4,25,1,0,1,0,0,0,Flat,674.26
Faisal Town,10.1,4,4,18,1,1,0,0,0,0,Upper Portion,745.15
DHA Phase 1-3,14.1,5,5,8,1,1,0,1,1,1,House,3139.59
DHA Phase 1-3,19.9,4,4,1,0,1,0,0,1,1,House,4250.93
Johar Town,5.0,4,4,0,0,0,1,0,0,0,Upper Portion,644.55
Allama Iqbal Town,10.4,4,4,5,1,1,1,0,0,0,Upper Portion,819.62
Shahdara,13.7,5,4,8,0,1,1,0,0,0,House,634.83
DHA Phase 7-9,13.5,5,4,12,1,1,0,0,0,1,House,2317.21
Valencia,14.4,4,3,0,1,0,1,0,0,1,House,1720.33
Johar Town,5.1,3,3,35,0,0,0,0,1,0,Lower Portion,400.22
Shahdara,7.4,3,2,5,0,0,1,0,1,0,Flat,366.24
Faisal Town,10.1,4,4,25,1,1,1,1,0,0,House,769.33
Allama Iqbal Town,20.3,5,4,12,1,0,0,1,0,0,House,1631.04
Bahria Town,6.9,3,3,1,0,0,1,0,1,1,Upper Portion,774.52
Johar Town,7.2,3,3,25,0,0,0,0,1,0,Flat,676.2
Gulberg III-V,20.4,5,4,18,0,1,0,0,0,0,House,3306.06
DHA Phase 1-3,5.1,4,4,12,0,0,1,0,1,1,Flat,1073.9
Faisal Town,39.7,5,4,8,1,1,0,0,0,0,House,3174.03
Allama Iqbal Town,13.8,5,4,1,1,0,0,1,1,0,House,1117.42
Shahdara,19.7,5,4,18,1,1,1,0,0,0,House,975.72
Shahdara,6.7,4,3,35,0,0,1,0,0,0,House,304.85
Lake City,4.8,2,2,1,0,0,0,0,1,1,Upper Portion,536.2
Wapda Town,14.1,4,3,3,0,1,1,1,0,0,Upper Portion,1425.83
Township,20.1,6,5,35,0,1,0,0,0,0,House,1123.1
Faisal Town,13.9,4,3,3,1,1,0,0,0,0,Upper Portion,1180.37
Gulberg III-V,5.1,4,3,18,0,0,1,0,0,0,House,694.05
Bahria Town,13.6,4,4,12,0,1,0,1,0,1,House,1483.83
DHA Phase 4-6,13.6,4,4,12,1,1,0,0,0,1,House,2094.61
Township,13.7,4,3,8,1,0,0,0,0,0,House,750.75
Valencia,14.0,5,5,3,1,1,0,0,0,1,House,2026.79
Gulberg I-II,19.7,5,5,0,1,1,0,0,0,0,House,3719.78
Iqbal Town,13.8,5,4,18,0,1,1,0,0,0,House,1069.03
Valencia,4.9,3,2,18,0,0,0,0,1,1,House,655.01
Model Town,10.3,4,4,18,1,1,0,0,1,0,House,1336.81
DHA Phase 4-6,4.5,3,2,12,0,0,0,0,0,1,House,715.67
Iqbal Town,10.1,5,4,3,1,1,0,0,0,0,House,770.87
Bahria Town,10.2,4,3,0,0,0,0,0,0,1,House,1340.69
Wapda Town,5.3,3,3,25,0,0,0,0,0,0,Lower Portion,362.7
Bahria Town,7.4,4,3,8,0,0,0,0,0,1,House,880.79
Faisal Town,4.5,3,3,5,1,1,0,0,1,0,Upper Portion,346.66
Lake City,19.7,4,3,1,1,0,0,0,0,1,House,2333.22
Lake City,20.4,6,5,0,1,1,1,1,0,1,House,2201.16
Faisal Town,5.0,3,3,5,0,0,0,0,1,0,Upper Portion,393.81
Johar Town,20.1,6,5,25,1,1,1,0,0,0,House,2012.18
DHA Phase 7-9,10.2,4,4,35,1,1,1,0,0,1,House,1446.37
DHA Phase 1-3,7.2,4,4,25,1,1,0,0,0,1,Lower Portion,1328.16
Wapda Town,5.4,4,3,35,0,0,0,0,0,0,Lower Portion,436.51
Valencia,10.5,5,4,35,0,1,0,0,0,1,House,1196.29
Iqbal Town,20.2,6,6,12,1,1,0,0,0,0,House,1454.67
Gulberg I-II,13.8,5,5,2,1,1,1,0,1,0,House,2120.32
DHA Phase 7-9,5.4,4,3,25,0,1,0,0,0,1,Lower Portion,759.12
DHA Phase 1-3,4.5,3,2,2,1,1,1,0,0,1,Flat,880.42
Model Town,9.7,3,2,3,0,0,1,0,0,0,Flat,1191.39
Valencia,7.4,4,3,3,0,0,0,0,0,1,House,779.77
Johar Town,6.8,4,3,8,0,0,0,0,0,0,House,550.57
Johar Town,6.7,4,4,5,0,0,1,0,0,0,House,659.03
Samanabad,19.6,5,5,2,1,1,0,0,0,0,House,1367.53
Model Town,20.4,5,5,8,1,1,0,0,0,0,Upper Portion,2514.55
Bahria Town,10.0,5,5,25,0,1,1,0,0,1,House,1249.82
Allama Iqbal Town,20.2,7,6,12,0,0,1,0,0,0,House,1419.75
Johar Town,6.7,3,3,25,0,0,0,0,1,0,Upper Portion,689.67
Valencia,10.3,4,3,2,1,1,1,0,0,1,House,1263.51
Faisal Town,7.3,4,3,2,0,0,0,0,1,0,Upper Portion,504.73
Township,13.8,5,4,12,1,1,0,0,1,0,House,814.97
DHA Phase 7-9,39.9,5,4,8,1,1,0,0,0,1,Upper Portion,6419.32
Township,13.7,5,4,18,1,1,0,0,1,0,House,1005.19
Bahria Town,10.5,4,4,25,1,1,0,0,0,1,House,1298.81
Gulberg III-V,14.1,5,4,18,1,1,1,0,0,0,House,2066.27
Bahria Town,5.4,3,2,35,0,0,0,1,1,1,Flat,651.96
Shahdara,19.8,5,4,5,1,1,0,0,0,0,House,1015.76
Bahria Town,10.3,4,4,2,1,0,1,0,1,1,House,1256.11
Model Town,10.3,4,3,12,1,1,0,0,0,0,Upper Portion,1430.45
Garden Town,10.2,4,3,1,1,1,1,0,0,0,House,1382.88
Gulberg I-II,14.5,4,3,3,1,0,1,1,0,0,House,2450.61
DHA Phase 4-6,4.9,3,3,2,0,0,0,0,1,1,House,747.96
DHA Phase 4-6,13.6,5,4,5,1,0,0,0,0,1,House,2184.83
DHA Phase 4-6,7.2,4,4,1,1,0,0,0,1,1,House,1395.03
DHA Phase 7-9,14.2,4,4,0,1,0,1,0,0,1,Upper Portion,1929.5
DHA Phase 7-9,20.1,7,6,18,1,0,0,0,0,1,Upper Portion,2780.47
Garden Town,19.7,5,5,12,1,1,1,0,0,0,House,2440.01
DHA Phase 7-9,10.0,4,4,18,1,1,0,0,0,1,House,1205.04
Model Town,9.8,4,3,18,1,1,0,1,0,0,Lower Portion,1258.48
Samanabad,4.9,3,2,1,0,0,0,0,0,0,Flat,263.86
Bahria Town,14.1,5,4,3,1,1,0,0,0,1,House,1455.39
Iqbal Town,7.2,4,3,1,1,0,0,1,1,0,House,812.4
DHA Phase 7-9,9.7,3,3,25,1,0,0,1,0,1,House,1269.31
DHA Phase 7-9,6.9,4,4,18,0,0,0,0,0,1,Lower Portion,822.37
DHA Phase 1-3,4.8,3,2,2,0,0,0,0,1,1,House,1123.68
DHA Phase 7-9,13.7,4,3,5,1,1,0,0,1,1,House,2071.9
Gulberg III-V,5.3,4,3,35,0,1,0,0,0,0,House,726.14
DHA Phase 7-9,14.4,5,5,12,1,1,0,0,0,1,House,2076.56
DHA Phase 4-6,6.9,3,2,25,0,0,1,0,0,1,House,1130.01
DHA Phase 4-6,5.3,3,3,3,1,0,1,1,0,1,Flat,878.22
Bahria Town,10.4,4,4,2,1,1,0,0,0,1,House,1324.24
Gulberg I-II,5.3,4,4,25,1,0,0,0,0,0,Upper Portion,867.85
Model Town,6.7,3,3,18,0,0,0,0,0,0,Upper Portion,858.47
Bahria Town,14.5,5,4,18,1,1,0,0,0,1,House,1891.99
Iqbal Town,4.9,2,2,12,0,0,0,0,0,0,Lower Portion,410.55
DHA Phase 1-3,19.8,4,3,12,1,1,0,1,0,1,House,3474.2
Allama Iqbal Town,4.6,3,3,18,1,1,0,0,0,0,Upper Portion,352.65
Garden Town,7.0,4,4,3,0,1,1,0,0,0,Upper Portion,787.09
DHA Phase 4-6,13.6,4,3,5,1,1,0,1,1,1,House,2469.6
Faisal Town,6.7,3,3,25,0,0,0,0,0,0,House,537.29
Samanabad,4.8,3,3,5,1,1,0,0,0,0,House,353.68
DHA Phase 4-6,10.3,5,5,12,1,1,0,0,1,1,House,1725.32
Gulberg III-V,7.4,3,2,18,0,0,1,0,1,0,Upper Portion,1329.71
Allama Iqbal Town,19.8,4,3,35,0,0,1,0,0,0,House,1275.67
Wapda Town,7.4,3,2,8,1,0,0,0,0,0,Upper Portion,755.53
DHA Phase 7-9,20.4,6,6,8,1,0,1,0,0,1,House,2433.58
Gulberg I-II,20.3,7,6,25,1,1,1,0,0,0,House,3731.15
Johar Town,9.6,4,3,25,0,0,0,0,0,0,House,1015.7
Bahria Town,20.2,5,4,18,0,0,0,1,0,1,House,2334.33
Valencia,10.4,5,5,8,1,1,0,0,1,1,House,1262.3
Johar Town,40.2,5,5,5,1,1,1,0,1,0,House,4100.59
Bahria Town,4.8,3,3,12,0,1,0,0,0,1,Upper Portion,582.99
Wapda Town,14.0,4,4,25,1,1,0,0,0,0,House,1595.69
DHA Phase 1-3,10.1,4,4,25,1,1,0,0,0,1,House,1715.45
Gulberg III-V,10.0,4,3,1,0,1,0,0,0,0,House,1387.81
Iqbal Town,13.6,4,3,8,1,1,0,0,1,0,House,1264.67
Samanabad,13.8,5,5,8,1,1,0,1,0,0,House,883.01
Bahria Town,5.3,3,3,35,0,0,0,0,0,1,Lower Portion,545.78
Lake City,7.4,3,2,18,0,0,1,0,0,1,Upper Portion,894.39
DHA Phase 4-6,13.6,4,4,8,1,1,1,0,0,1,House,1542.16
Bahria Town,14.5,5,5,0,1,1,1,0,0,1,House,1612.35
Lake City,39.8,6,6,12,1,1,1,0,0,1,House,3382.9
Gulberg I-II,14.2,5,5,1,1,1,1,0,0,0,House,2142.91
Gulberg III-V,20.3,5,5,25,1,1,0,0,1,0,Upper Portion,3776.12
Johar Town,14.3,4,3,18,1,1,1,1,1,0,Upper Portion,1572.75
DHA Phase 1-3,7.4,4,3,8,1,0,0,1,1,1,House,1640.23
Model Town,4.8,3,3,8,0,0,0,0,0,0,Flat,626.57
Gulberg I-II,20.4,6,6,25,1,1,1,1,0,0,House,3874.4
Model Town,13.6,5,4,3,1,1,0,0,0,0,House,1459.89
DHA Phase 4-6,5.2,4,4,3,0,0,1,0,0,1,House,1060.85
Samanabad,10.2,4,3,35,0,0,0,0,0,0,House,535.25
Valencia,20.2,5,5,25,1,1,0,0,0,1,House,2287.51
Iqbal Town,9.8,3,2,25,0,0,1,1,1,0,House,930.77
Allama Iqbal Town,10.4,5,4,2,1,1,0,0,0,0,House,854.95
Bahria Town,9.7,3,3,1,0,1,0,0,0,1,Flat,1137.34
DHA Phase 4-6,6.6,3,3,0,1,0,1,0,0,1,House,977.76
Lake City,10.2,5,4,3,1,1,0,1,0,1,House,1212.47
Valencia,10.0,3,3,25,0,0,0,0,1,1,Upper Portion,1316.72
Wapda Town,5.3,4,3,3,0,0,1,0,0,0,House,514.17
Johar Town,13.9,4,4,18,1,1,0,0,0,0,House,1625.11
DHA Phase 4-6,9.7,3,3,3,0,0,1,0,0,1,House,1482.22
Gulberg III-V,20.3,6,6,5,1,1,0,0,0,0,House,3005.97
Model Town,20.0,5,4,35,0,0,1,0,0,0,House,3119.12
Garden Town,6.7,3,2,3,1,0,0,0,1,0,House,810.45
Lake City,14.2,4,4,5,0,1,0,0,1,1,House,1774.68
Model Town,10.0,4,3,5,1,0,1,0,0,0,House,1701.99
Shahdara,20.1,6,6,1,1,1,0,1,1,0,House,1074.86
Valencia,7.0,3,2,8,0,1,1,0,0,1,Lower Portion,792.9
Gulberg I-II,14.3,4,4,5,0,1,0,0,0,0,House,2246.45
DHA Phase 4-6,14.3,4,3,18,1,1,1,0,0,1,House,2802.97
DHA Phase 7-9,7.2,4,3,25,1,0,0,0,0,1,House,1143.66
Gulberg III-V,4.6,2,2,12,0,0,0,0,1,0,Upper Portion,761.37
DHA Phase 7-9,14.3,4,3,0,1,1,0,0,0,1,House,1958.3
DHA Phase 7-9,14.2,5,4,12,1,1,1,1,0,1,House,2231.34
Gulberg III-V,7.2,4,3,0,0,0,0,0,0,0,House,1069.87
DHA Phase 7-9,13.9,5,5,12,1,0,0,0,0,1,House,1693.47
Samanabad,10.4,4,4,18,1,1,0,0,1,0,Upper Portion,725.42
DHA Phase 4-6,14.2,4,3,2,1,1,0,0,0,1,House,2883.26
Bahria Town,6.6,3,3,25,1,0,0,0,0,1,Lower Portion,638.13
Johar Town,19.9,4,3,35,1,1,0,0,0,0,Upper Portion,1689.71
Shahdara,7.4,3,3,25,0,0,0,0,0,0,House,339.2
DHA Phase 4-6,9.5,3,3,5,0,0,1,0,1,1,House,1833.65
Johar Town,5.5,4,4,12,1,0,0,0,1,0,Upper Portion,486.82
Shahdara,5.2,4,4,35,0,1,0,0,0,0,Lower Portion,200.47
Faisal Town,10.1,4,3,5,1,0,1,1,0,0,House,826.71
Allama Iqbal Town,6.8,3,3,25,0,0,0,0,0,0,House,526.43
Gulberg III-V,19.7,5,5,0,1,1,0,0,0,0,House,2635.06
DHA Phase 7-9,5.4,3,3,0,0,0,0,0,1,1,Upper Portion,828.71
Iqbal Town,9.8,4,3,18,1,0,1,0,0,0,Upper Portion,836.76
Township,7.3,3,3,18,0,1,1,0,0,0,Upper Portion,367.42
Lake City,4.9,2,2,25,0,0,0,0,0,1,House,531.42
Lake City,4.6,2,2,35,1,0,1,1,0,1,Lower Portion,380.64
Gulberg III-V,9.5,3,3,1,0,0,0,0,0,0,Flat,1285.11
Wapda Town,10.0,5,4,3,1,0,0,1,1,0,House,1062.89
DHA Phase 7-9,10.5,4,4,35,1,1,1,0,0,1,House,1130.97
Model Town,9.9,3,3,2,1,1,0,0,0,0,Flat,915.49
Johar Town,9.9,4,4,18,1,1,0,1,0,0,Upper Portion,723.65
Bahria Town,4.8,3,3,12,0,1,1,0,0,1,Lower Portion,656.45
Gulberg I-II,10.0,4,4,1,1,1,0,0,0,0,House,1752.68
DHA Phase 4-6,39.9,6,6,3,1,0,1,0,0,1,House,6205.3
Valencia,10.4,5,5,12,1,1,0,0,1,1,House,1479.12
Gulberg III-V,14.0,5,4,25,1,1,0,0,0,0,Upper Portion,1922.24
Valencia,7.0,4,3,18,0,0,0,0,0,1,House,897.93
DHA Phase 7-9,13.6,5,5,12,1,1,0,0,0,1,House,1880.78
Bahria Town,14.5,4,4,8,0,1,0,0,0,1,House,1585.37
Lake City,9.7,4,3,3,0,0,1,0,0,1,Upper Portion,1114.49
DHA Phase 1-3,39.6,5,5,1,1,1,0,0,1,1,Upper Portion,7980.49
Model Town,5.2,3,2,8,1,0,0,0,0,0,Upper Portion,663.16
DHA Phase 7-9,5.1,3,2,0,0,0,0,0,0,1,Lower Portion,639.02
DHA Phase 4-6,13.9,4,4,2,1,0,0,0,0,1,House,2258.41
Shahdara,19.9,4,4,8,0,1,0,0,0,0,House,692.72
Model Town,5.3,4,3,8,0,0,0,1,0,0,Upper Portion,741.41
Allama Iqbal Town,6.7,4,3,0,1,0,0,0,1,0,Lower Portion,429.8
Gulberg III-V,5.3,3,3,12,0,1,0,1,0,0,Flat,857.01
Iqbal Town,7.1,4,4,12,1,0,0,0,0,0,House,645.98
Wapda Town,13.9,4,3,0,1,1,0,0,0,0,House,1355.51
Valencia,10.0,3,2,35,0,1,0,0,1,1,House,1299.32
Bahria Town,6.8,4,3,1,0,0,0,0,1,1,Lower Portion,696.93
Johar Town,10.3,5,5,25,1,1,1,0,1,0,House,1132.12
Model Town,5.0,4,4,0,1,0,0,0,0,0,Flat,721.11
Township,6.8,4,4,25,1,1,1,0,0,0,Flat,407.12
Allama Iqbal Town,14.1,4,3,0,1,1,1,0,1,0,Upper Portion,961.37
Shahdara,40.5,6,5,18,1,0,0,0,0,0,House,2039.52
DHA Phase 4-6,19.9,4,4,5,1,0,0,0,0,1,House,3609.99
Wapda Town,5.4,3,2,18,0,0,0,1,0,0,Upper Portion,502.03
Township,19.8,5,4,8,0,1,0,0,1,0,House,1016.62
DHA Phase 7-9,19.6,4,3,0,1,1,0,1,1,1,House,2511.42
DHA Phase 4-6,19.7,4,3,18,1,1,1,0,1,1,House,3284.98
Wapda Town,9.9,3,2,0,0,0,0,0,0,0,House,1013.98
Lake City,9.7,4,4,35,0,0,0,0,0,1,Flat,826.46
Faisal Town,6.5,4,4,0,0,0,0,0,1,0,Lower Portion,485.77
DHA Phase 7-9,5.4,3,3,8,1,1,0,0,0,1,Lower Portion,700.39
Allama Iqbal Town,7.3,3,3,18,1,1,0,1,1,0,House,593.1
Gulberg I-II,7.2,3,3,5,0,0,0,0,1,0,House,1069.52
DHA Phase 7-9,9.7,3,2,2,0,0,1,0,0,1,Upper Portion,1273.68
DHA Phase 7-9,13.6,4,3,18,1,1,0,0,0,1,House,1776.88
Allama Iqbal Town,9.6,4,3,25,0,0,0,0,0,0,House,607.22
Iqbal Town,5.2,3,3,35,1,0,0,0,0,0,House,436.66
Bahria Town,20.4,5,4,5,1,1,0,0,0,1,House,2211.31
